height,timestamp,difficulty
330624,1416345124,40300030327.8914
332640,1417563705,40007470271.27126
334656,1418791024,39457671307.13873
336672,1419965588,40640955016.57649
338688,1421084073,43971662056.08958
340704,1422372946,41272873894.69702
342720,1423496415,44455415962.3438
344736,1424648937,46684376316.86029
346752,1425840165,47427554950.6483
348768,1427068411,46717549644.70642
350784,1428211345,49446390688.24144
352800,1429467906,47610564513.47126
354816,1430677341,47643398017.80344
356832,1431858433,48807487244.68138
358848,1433099185,47589591153.62501
360864,1434257763,49692386354.89384
362880,1435475246,49402014931.22746
364896,1436646286,51076366303.48193
366912,1437828285,52278304845.59168
368928,1439028930,52699842409.34701
370944,1440204583,54256630327.88996
372960,1441357507,56957648455.01001
374976,1442519404,59335351233.86657
376992,1443700390,60813224039.44035
379008,1444908751,60883825480.09828
381024,1446092706,62253982449.76082
383040,1447236692,65848255179.70261
385056,1448332462,72722780642.54718
387072,1449444652,79102380900.22598
389088,1450469289,93448670796.3238
391104,1451558562,103880340815.4559
393120,1452667178,113354299801.4711
395136,1453810745,120033340651.237
397152,1454818360,144116447847.3487
399168,1455885256,163491654908.9593
401184,1457133956,158427203767.3917
403200,1458292068,165496835118.2263
405216,1459492475,166851513282.7772
407232,1460622341,178678307671.6884
409248,1461832110,178659257772.5273
411264,1462944866,194254820283.444
413280,1464123766,199312067531.243
415296,1465353718,196061423939.65
417312,1466486338,209453158595.381
419328,1467674161,213398925331.3239
421344,1468884162,213492501107.5134
423360,1470163842,201893210853.059
425376,1471287554,217375482757.2376
427392,1472479861,220755908330.3723
429408,1473662347,225832872179.4596
431424,1474795015,241227200229.991
433440,1475924010,258522748404.5154
435456,1477159378,253618246641.4895
437472,1478364418,254620187304.0614
439488,1479457815,281800917193.1958
441504,1480646786,286765766820.5504
443520,1481765313,310153855703.4333
445536,1482946855,317688400354.0338
447552,1484088052,336899932795.8077
449568,1485125572,392963262344.3704
451584,1486251529,422170566883.8369
453600,1487410706,440779902286.5892
455616,1488567886,460769358090.7142
457632,1489739775,475705205061.6292
459648,1490891948,499635929816.6675
461664,1492052390,520808749422.1398
463680,1493259601,521974519553.6282
465696,1494387648,559970892890.8381
467712,1495524592,595921917085.416
469728,1496586907,678760110082.9902
471744,1497741533,711697198173.7566
473760,1498956437,708659466230.332
475776,1500021942,804525194568.1318
477792,1501153434,860221984436.2223
